num;NOME;longe;alfabetizacao;freq_escolar;renda_capita;idhl;idhe;idhr;idh
153;Vicente de Carvalho;67,51;93,79;78,52;296,63;0,709;0,887;0,723;0,773
154;Vidigal;67,33;87,9;69,5;219,95;0,706;0,818;0,673;0,732
155;Vigário Geral;66,66;93,52;74,73;296,6;0,694;0,873;0,723;0,763
156;Vila da Penha;77,64;98,79;103,71;669,34;0,877;0,992;0,859;0,909
157;Vila Isabel;73,46;97,16;100,89;931,25;0,808;0,981;0,914;0,901
158;Vila Kennedy;67,33;87,9;69,5;219,95;0,706;0,818;0,673;0,732
159;Vila Kosmos;77,2;97,58;89,46;498,82;0,87;0,949;0,81;0,876
160;Vila Militar;73,59;97,75;93,26;462,13;0,81;0,963;0,797;0,856
161;Vila Valqueire;77,47;97,86;96,69;684,94;0,875;0,975;0,863;0,904
162;Vista Alegre;62,81;98,08;92,99;473,39;0,63;0,964;0,801;0,798
163;Zumbi;73,53;96,9;91,34;517,83;0,809;0,95;0,816;0,858
