DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;QT_APTOS;QT_SECOES;QT_SECOES_AGREGADAS;QT_APTOS_TOT;QT_SECOES_TOT;QT_COMPARECIMENTO;QT_ABSTENCOES;ST_VOTO_EM_TRANSITO;QT_VOTOS_NOMINAIS;QT_VOTOS_BRANCOS;QT_VOTOS_NULOS;QT_VOTOS_LEGENDA;QT_VOTOS_PENDENTES;QT_VOTOS_ANULADOS;HH_ULTIMA_TOTALIZACAO;DT_ULTIMA_TOTALIZACAO
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;210;13;Vereador;44599;98;2;44599;98;35190;9409;N;24926;2404;5539;2321;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58408;ARMAÇÃO DOS BÚZIOS;58408;ARMAÇÃO DOS BÚZIOS;172;11;Prefeito;25868;73;3;25868;73;21357;4511;N;20220;408;729;0;0;0;18:06:15;03/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;58335;DUQUE DE CAXIAS;58335;DUQUE DE CAXIAS;127;11;Prefeito;87617;254;7;87617;254;67212;20405;N;54954;3292;8966;0;0;0;18:40:20;30/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;165;11;Prefeito;28600;77;0;28600;77;19437;9163;N;18025;408;1004;0;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58556;MENDES;58556;MENDES;56;11;Prefeito;15464;52;7;15464;52;12709;2755;N;11874;247;588;0;0;0;19:08:18;26/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;58971;SÃO GONÇALO;58971;SÃO GONÇALO;86;11;Prefeito;31028;89;1;31028;89;22405;8623;N;17737;1013;3655;0;0;0;19:10:20;30/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58718;PARACAMBI;58718;PARACAMBI;70;13;Vereador;33886;97;8;33886;97;28726;5160;N;25138;560;1713;1315;0;0;18:27:32;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58033;ARARUAMA;58033;ARARUAMA;92;13;Vereador;92990;238;25;92990;238;72761;20229;N;63890;1831;3370;3670;0;0;11:59:42;21/11/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;59013;SÃO JOÃO DE MERITI;59013;SÃO JOÃO DE MERITI;88;11;Prefeito;70740;202;2;70740;202;56488;14252;N;43491;3783;9214;0;0;0;19:21:19;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58696;NOVA IGUAÇU;58696;NOVA IGUAÇU;82;13;Vereador;42562;126;5;42562;126;33475;9087;N;25473;1627;4807;1568;0;0;14:09:38;04/04/2018
